IconStyle/color,LabelStyle/scale,_id,LineStyle/color,LineStyle/width
ff0000ff,0,inactive-IconP010201,,
ff0000ff,1,active-IconP010201,,
,0,inactive-IconP010201,fff38a67,5.0
,1,active-IconP010201,fff38a67,5.0
ff0000ff,0,inactive-IconP010202,,
ff0000ff,1,active-IconP010202,,
,0,inactive-IconP010202,ff9900cc,5.0
,1,active-IconP010202,ff9900cc,5.0
ff0000ff,0,inactive-IconP010203,,
ff0000ff,1,active-IconP010203,,
,0,inactive-IconP010203,,5.0
,1,active-IconP010203,,5.0
ff0000ff,0,inactive-IconP010204,,
ff0000ff,1,active-IconP010204,,
,0,inactive-IconP010204,,5.0
,1,active-IconP010204,,5.0
ff0000ff,0,inactive-IconP010205,,
ff0000ff,1,active-IconP010205,,
,0,inactive-IconP010205,,5.0
,1,active-IconP010205,,5.0
ff0000ff,0,inactive-IconP010206,,
ff0000ff,1,active-IconP010206,,
,0,inactive-IconP010206,ff0033cc,5.0
,1,active-IconP010206,ff0033cc,5.0
ff0000ff,0,inactive-IconP010207,,
ff0000ff,1,active-IconP010207,,
,0,inactive-IconP010207,,5.0
,1,active-IconP010207,,5.0
ff0000ff,0,inactive-IconP010208,,
ff0000ff,1,active-IconP010208,,
,0,inactive-IconP010208,,5.0
,1,active-IconP010208,,5.0
ff0000ff,0,inactive-IconP010209,,
ff0000ff,1,active-IconP010209,,
,0,inactive-IconP010209,,5.0
,1,active-IconP010209,,5.0
ff0000ff,0,inactive-IconP010300,,
ff0000ff,1,active-IconP010300,,
,0,inactive-IconP010300,ff00ff00,5.0
,1,active-IconP010300,ff00ff00,5.0
