??,tot,sbi,bemp,act
0,28,14,14,1
1,28,14,14,1
2,28,14,14,1
3,28,14,14,1
4,28,15,13,1
5,28,15,13,1
6,28,14,14,1
7,28,14,14,1
8,28,14,14,1
9,28,14,14,1
10,28,14,14,1
11,28,14,14,1
12,28,14,14,1
13,28,14,14,1
14,28,15,13,1
15,28,15,13,1
16,28,15,13,1
17,28,14,14,1
18,28,13,15,1
19,28,12,16,1
20,28,12,16,1
21,28,12,16,1
22,28,12,16,1
23,28,12,16,1
24,28,12,16,1
25,28,12,16,1
26,28,12,16,1
27,28,12,16,1
28,28,12,16,1
29,28,11,17,1
30,28,10,18,1
31,28,10,18,1
32,28,10,18,1
33,28,10,18,1
34,28,10,18,1
35,28,10,18,1
36,28,10,18,1
37,28,10,18,1
38,28,10,18,1
39,28,10,18,1
40,28,10,18,1
41,28,10,18,1
42,28,10,18,1
43,28,10,18,1
44,28,10,18,1
45,28,10,18,1
46,28,10,18,1
47,28,10,18,1
48,28,10,18,1
49,28,10,18,1
50,28,10,18,1
51,28,10,18,1
52,28,9,19,1
53,28,9,19,1
54,28,9,19,1
55,28,9,19,1
56,28,9,19,1
57,28,9,19,1
58,28,9,19,1
59,28,9,19,1
60,28,9,19,1
61,28,9,19,1
62,28,9,19,1
63,28,9,19,1
64,28,9,19,1
65,28,9,19,1
66,28,9,19,1
67,28,9,19,1
68,28,9,19,1
69,28,9,19,1
70,28,9,19,1
71,28,9,19,1
72,28,9,19,1
73,28,9,19,1
74,28,9,19,1
75,28,9,19,1
76,28,9,19,1
77,28,9,19,1
78,28,9,19,1
79,28,9,19,1
80,28,9,19,1
81,28,9,19,1
82,28,9,19,1
83,28,9,19,1
84,28,9,19,1
85,28,9,19,1
86,28,9,19,1
87,28,9,19,1
88,28,9,19,1
89,28,9,19,1
90,28,9,19,1
91,28,9,19,1
92,28,9,19,1
93,28,9,19,1
94,28,9,19,1
95,28,9,19,1
96,28,9,19,1
97,28,9,19,1
98,28,9,19,1
99,28,9,19,1
100,28,9,19,1
101,28,9,19,1
102,28,9,19,1
103,28,9,19,1
104,28,9,19,1
105,28,9,19,1
106,28,9,19,1
107,28,9,19,1
108,28,9,19,1
109,28,9,19,1
110,28,9,19,1
111,28,9,19,1
112,28,9,19,1
113,28,9,19,1
114,28,9,19,1
115,28,9,19,1
116,28,9,19,1
117,28,9,19,1
118,28,9,19,1
119,28,9,19,1
120,28,9,19,1
121,28,9,19,1
122,28,9,19,1
123,28,9,19,1
124,28,9,19,1
125,28,9,19,1
126,28,9,19,1
127,28,9,19,1
128,28,9,19,1
129,28,9,19,1
130,28,9,19,1
131,28,9,19,1
132,28,9,19,1
133,28,9,19,1
134,28,9,19,1
135,28,9,19,1
136,28,9,19,1
137,28,9,19,1
138,28,9,19,1
139,28,9,19,1
140,28,9,19,1
141,28,9,19,1
142,28,9,19,1
143,28,9,19,1
144,28,9,19,1
145,28,9,19,1
146,28,9,19,1
147,28,9,19,1
148,28,9,19,1
149,28,9,19,1
150,28,9,19,1
151,28,9,19,1
152,28,9,19,1
153,28,9,19,1
154,28,9,19,1
155,28,9,19,1
156,28,9,19,1
157,28,9,19,1
158,28,9,19,1
159,28,9,19,1
160,28,9,19,1
161,28,9,19,1
162,28,9,19,1
163,28,9,19,1
164,28,9,19,1
165,28,9,19,1
166,28,9,19,1
167,28,9,19,1
168,28,9,19,1
169,28,9,19,1
170,28,9,19,1
171,28,9,19,1
172,28,9,19,1
173,28,9,19,1
174,28,9,19,1
175,28,9,19,1
176,28,9,19,1
177,28,9,19,1
178,28,9,19,1
179,28,9,19,1
180,28,9,19,1
181,28,9,19,1
182,28,9,19,1
183,28,9,19,1
184,28,9,19,1
185,28,9,19,1
186,28,9,19,1
187,28,9,19,1
188,28,9,19,1
189,28,9,19,1
190,28,9,19,1
191,28,9,19,1
192,28,9,19,1
193,28,9,19,1
194,28,9,19,1
195,28,9,19,1
196,28,9,19,1
197,28,9,19,1
198,28,9,19,1
199,28,9,19,1
200,28,9,19,1
